Attribute,Frequency
"the pancreas, spleen, bilateral
 adrenals",1
"extensive
 diverticulosis",1
"the extensive
 pneumomediastinum",1
multiple other left renal low-attenuation lesions,1
a small non- specific enhancing focus,1
"multiple sub-cm low- attenuation hepatic
 lesions",1
vascular integrity,1
"atherosclerotic aortic
 arch calcifications",1
"a non specific right renal
 enhancing focus",1
an emergent basis,1
a poorly-defined margin,1
64710,1
"[**2166-11-24**] 6:45 pm
 mri abdomen w/o",1
mr 3d rendering w/o post processing,1
known brain,1
"liver failure
 reason",1
"final report
 mri abdomen

 indication",1
liver metastasis,1
3d reformation,1
the et tube cuff,1
"the bilateral
 chest tubes",1
"[**2166-11-21**].

 findings",1
a rather enlarged paraumbilical vein,1
the widespread subcutaneous air collections,1
"slight
 interval decrease",1
"a
 focal lesion",1
"background
 hepatic parenchyma",1
2195-9-9**] radiograph,1
"0908 a.m.
 radiograph",1
"the right-
 sided chest tube",1
"the left-sided chest
 tube",1
"the patient's
 known history",1
horizonally,1
high signal foci,1
"the concurrent
 torso ct",1
thyroid function tests,1
slightly heterogeneous thyroid gland,1
"[**2195-9-8**] 4:09 am
 ct c-spine w/o contrast                                         clip #",1
small c5-6 endplate osteophytes,1
the deep and superficial neck soft tissues,1
borderline type,1
3d volume,1
comminuted odontoid process fracture,1
"an enlarged, slightly heterogeneous thyroid gland",1
multiple splenic infarcts,1
"a partially visualized left
 pneumothorax",1
the odontoid fracture,1
small endplate osteophytes,1
small lesion,1
"typical
 features",1
no focal bone lesions,1
400b:28,1
1.5 x 2 cm,1
subcentimeter nodules,1
"no mediastinal, axillary adenopathy",1
no further contrast,1
an allergy,1
the pre,1
pre-bolus iv contrast,1
30 cc,1
"a 1.2-cm
 right lower pole renal cyst",1
to pubic symphysis,1
3-cm,1
helical ct acquisitions,1
its infrarenal portion,1
"no acute fracture
  et tube",1
"visceral organ injury
  old right rib",1
"subcutaneous emphysema
  pneumomediastinum
  pneumoperitoneum
  left pneumothorax
  rul collapse",1
"6:45 pm
 mri abdomen w/o",1
approximately 6.9 cm,1
series 1c,1
right occipital hemorrhagic focus,1
both frontal regions,1
"prominent extra-axial
 spaces",1
1 p.m,1
paraspinal fiducial markers,1
"upper lobe
 lesion",1
a left upper lobe lesion,1
"proper placement
 admitting diagnosis",1
comparison ct torso,1
"the same date

 indication",1
"[**2189-5-28**]

 indication",1
85654,1
"ct
 fluoroscopic",1
left upper lobe lung nodule biopsy,1
"final report
 ct interventional procedure",1
lul lesion,1
87 y/o female,1
"] 2:16 am
 chest",1
"[**2166-11-28**] 11:07 am
  worsening fluid overload",1
nodule\cyberknife,1
33178,1
85653,1
a timeout procedure,1
a 64-year-old male status post extubation,1
continuous nursing staff monitoring,1
"[**2166-11-21**] 11:52 am
 ct head w/o contrast                                            clip #",1
10 liters,1
a 100%,1
approximately 70%,1
a single 18-gauge core biopsy,1
the brain and mental status change,1
a 3.5 x 4.4 cm focus,1
a spiculated left upper lobe lesion,1
"the
 right occipital lobe",1
approximately 90 minutes,1
"moderate surrounding vasogenic
 edema",1
"the right occipital and temporal
 lobe",1
hemodynamic parameters,1
no definite shift,1
bilateral subdural hygromas,1
occipital and temporal lobes,1
bifrontal prominent extra-axial csf spaces,1
"right central venous
  catheter",1
moderate-sized hiatus hernia,1
"no
 definite shift",1
rapid decompensation,1
left lung lesion s/p ct guided left lung biopsy,1
"question fluid
 overload",1
very slight retraction,1
64715,1
some patchy infrahilar opacity,1
85935,1
"the
 two studies",1
mild pneumomediastinum,1
"[**2166-11-22**] 11:13 am
  no significant change",1
widespread abnormalities,1
new l subclavian,1
"surrounding vasogenic
  edema",1
64716,1
the subsequent studies,1
hemorrhagic lesion,1
"a 4.5 x 2.9
 cm hemorrhagic focus",1
the right occipital and temporal lobes,1
"rapid
  decompensation",1
metstatic lung ca,1
the dominant 7.9-cm mass,1
some adjacent hemorrhage,1
"bilateral pleural effusion and/or pleural
 scarring",1
"no lung
 findings",1
larger areas,1
":

 heavy asbestos-related pleural calcification",1
"aspiration pna
 reason",1
4 treatments,1
increased left retrocardiac opacity,1
lul lung nodule\cyberknife procedure,1
"no
 gross pleural effusions",1
"3:49 am
 chest",1
33020,1
"increased left retrocardiac opacity
 suggestive",1
"2:16 am
 chest",1
"pfi report
 worsening fluid overload",1
"*] 10:59 pm
 chest",1
extensive pleural plaquing,1
the large hiatal hernia,1
*] 9:55 am,1
s/p pancoast tumor removal,1
"suture
 lines",1
severe atelectasis/collapse,1
"the right
 neck",1
postoperative pancoast tumor,1
"[**8-18**]
 reason",1
108109,1
"[**2164-9-17**] 1:44 pm
 chest",1
"l ij
 reason",1
"severe right middle lobe
 atelectasis/collapse",1
"a left internal jugular
 central line",1
"new declining mental
 status",1
"[**2193-10-5**].

 history",1
new left ij central line,1
bedside semi-upright ap chest radiograph,1
rotated position,1
80348,1
"] 5:56 pm
 ct head w/o",1
"edema/herniation
 admitting diagnosis",1
"[**2100-8-27**] 12:45 pm
  new left base atelectasis",1
"mental status/lethargy
 reason",1
31027,1
2.  newly apparent increased diffuse interstitial markings,1
"new
 right chest tube",1
extensive increased interstitial prominence,1
soft tissue appearance,1
"pleurodesis
 reason",1
a mild increase,1
"[**2178-3-27**].

 findings",1
108947,1
a new loculated appearance,1
"ng tube
 courses",1
two new right apically oriented chest tubes,1
the right paraspinal musculature,1
the soft tissue findings,1
residual disease,1
cc optiray,1
"lami pod#8
 no contraindications",1
"r/o infection/abcess include cervical
  spine c6",1
"pancoast tumor w/ chest wall
  reconstruction",1
t1-3 lami,1
"increased
 lymphadenopathy",1
"edema/herniation
 no contraindications",1
/pegpod,1
32372,1
dats,1
the right apical resection site,1
"acute
 large vascular territorial infarction",1
"the right peridiaphragmatic gas
 collection",1
any fluid,1
a residual gas collection,1
an oblong lucency,1
probable small pleural effusions,1
"considerable bibasilar
 atelectasis",1
the problem,1
residual pleural effusion,1
a subpulmonic pneumothorax,1
89602,1
89603,1
"the
 morphologic characteristics",1
the right apical pleural tube,1
"8:13 pm
 chest",1
a new collection,1
31023,1
the calvarial bones,1
persistent collection,1
a few small lucencies,1
"[**2198-3-24**] 7:49 pm
  scattered hemorrhagic intracranial metastases",1
"[**name14 (stitle) 89603**] additional non-hemorrhagic
  intracranial metastases",1
"[**8-18**]..
 reason",1
"pod
  11 s/p r thoracotomy",1
"the present
  study",1
mid-line shift,1
"ventilation
 admitting diagnosis",1
sequential axial images,1
31910,1
an opacification,1
the upper clavicular level,1
scattered high-density lesions,1
"palcement
 ______________________________________________________________________________
                                 final report
 history",1
"advanced ett
 reason",1
"[**2100-8-25**] 9:32 pm
 chest",1
tells,1
this non-contrast ct study,1
"the post-surgical
 bed",1
purely postoperative change,1
new medial,1
"[**3-30**]

 history",1
32371,1
small and subcutaneous emphysema,1
the large right hilar,1
both the right suprahilar lung,1
even fissural pleural fluid,1
an unchanged air-pocket,1
a real concern,1
108110,1
"final report
 \study",1
warrants,1
31029,1
"the morphologic
 situation",1
close radiographic followup,1
"w/ persistent pleural effusions
 reason",1
this area warrants,1
"the pre-existing right-sided basal lung
 parenchymal opacity",1
109635,1
\study,1
degerative,1
"right
 perihilar mass-like consolidations",1
"[**2184-8-5**] 12:24 pm
  pfi",1
"9:28 am
 chest",1
74 year old male,1
bilateral glenohumeral joints,1
unchanged collapse,1
the eroded left lateral fourth rib,1
no suspicious metastatic foci,1
"no right-sided
 pleural effusion",1
degerative changes,1
the known right lung masses,1
"the
 nodular opacities",1
"the
 right suggesting",1
"[**2178-3-12**] 3:50 pm




               radline",1
108698,1
increasing mediastinal shift,1
central tumor,1
"decreasing
 saturations",1
25.6,1
"[**2100-8-28**].

 findings",1
"placement
 ______________________________________________________________________________
                                 final report
 chest radiograph

 indication",1
pleural effusion s/p chest tube,1
"3:11 pm
  new",1
"[**2100-8-25**] 12:43 pm
 chest port",1
108108,1
a small air pocket,1
"right
 thoracotomy and post-surgical changes",1
sobclinical,1
recurrent pleural effusion s/p pleurodesis,1
"pleurex placement
 reason",1
"intubated, respiratory
 failure",1
status post pancoast tumor resection,1
recurrent pleural effusion,1
"[**2100-8-22**] 11:32 am
  no significant change",1
"[**2178-3-28**].

 findings",1
"minimally improved
 ventilation",1
"unchanged extensive parenchymal
 opacities",1
labled,1
pod#8,1
"left, unchanged position",1
mild-to-moderate vascular congestion,1
"the previous day's
  radiograph",1
"7:32 am
 chest",1
"the
 left lower chest",1
"the previous day's
 radiograph",1
"mediastinal and hilar lymphadenopathy and multiple lung
 nodules",1
"pfi report
 new",1
"12:43 pm
 chest port",1
"left perihilar
 opacities",1
109435,1
sobclinical question,1
"r/o infiltrate
 reason",1
"[**2178-3-9**].

 technique",1
the iv service nurse,1
the [**year,1
"no fluid
 overload",1
"a mild
 interstitial abnormality",1
an unchanged right apical air pocket,1
each hilum,1
suture material projects,1
bedside ap,1
"pleural tube
 removal",1
right dats,1
: pancoast tumor,1
a right apical mass,1
"[**2100-9-6**]

 indication",1
"unabl
 admitting diagnosis",1
"the
  floor",1
"central
 venous line",1
intravenous therapy,1
her healthcare proxy,1
"pod9
 reason",1
"the
 patient's husband",1
the right anterior neck,1
timeout protocol,1
"hospital 51**]
 hospital policy",1
generous infiltration,1
"pod 21 s/p r
  thoracotomy",1
"right internal
 jugular vein",1
prompted,1
"the 21-gauge
 micropuncture needle",1
the 0.018 guide wire,1
new sputum production,1
"associated
 partial chest wall resection",1
deglutition,1
a persistent small gas collection adjacent,1
"eval r chest
 _",1
"[**2198-3-24**] 8:46 pm
 chest",1
"unresponsiveness, new o2 requirement
 reason",1
31162,1
"likely
 combination",1
infrahilar opacity,1
89771,1
the bronchial walls,1
"11:52

 clinical indication",1
"the
 patient's arm",1
focal air space consolidation,1
"associated
 thickening",1
"poorly
 defined opacities",1
89601,1
pleural and parenchymal abnormality,1
"11:16 am
 central line plct                                               clip #",1
increased obscuration,1
vallecular,1
piecemeal,1
the pre-existing basal opacities,1
mild oral residue,1
unabl,1
generous,1
"piecemeal
 deglutition",1
1474,1
"breath s/p ru lobectomy
 reason",1
76521,1
"the
 oral cavity",1
a barium pill,1
mildly reduced bolus formation,1
"video fluoroscopic
 observation",1
swallow pathology,1
an oral and pharyngeal swallowing videofluoroscopy study,1
increasing work,1
60-year-old male status post resection,1
"video
 reason",1
76520,1
"s/p rul
 reason",1
89604,1
"the
 pharyngeal phase",1
"21-gauge micropuncture
 needle",1
"ultrasound and
 fluoroscopic visualization",1
31161,1
"] guide
 wire",1
"appropriate
 dilatation",1
the needle tract,1
mild-to-moderate oropharyngeal dysphagia,1
mixed consistency,1
"the
 aspirated material",1
the straw sips,1
"the
 third swallow",1
a straw,1
"consecutive
 swallows",1
a 7 french triple-lumen central venous line,1
a triple-lumen central venous line,1
prompted dry swallows,1
moderate vallecular residue and mild piriform sinus residue,1
"bolus
 propulsion",1
high laryngeal excursion,1
"[**2100-8-27**].

 findings",1
a very subtle small basal parenchymal opacity,1
"8:45 pm
  ngt",1
"[**2198-3-26**] 8:23 pm
  dht",1
"unilat up ext veins us [**2100-8-24**] 10:20 am
 unilat up ext veins us                                          clip #",1
"[**2198-3-24**].

 findings",1
a right internal jugular vein catheter,1
cardioesophageal,1
"otherwise, normal chest radiograph",1
31026,1
a reflection,1
some increasing indistinctness,1
"the
 cardioesophageal junction",1
the proximal metallic portion,1
"[**8-18**], now s/p dobhoff
 reason",1
89606,1
"[**2100-8-25**] 3:45 pm
 chest",1
prox,1
32467,1
"persistent right basilar
 atelectasis",1
"right [**2198-3-26**] 11:08 am
 unilat lower ext veins right                                    clip #",1
"[**2198-3-26**] 8:24 pm
  dht",1
left upper extrem,1
"pod 20 s/p r
  thoracotomy",1
"both
  swollen
 reason",1
"[**2198-3-26**], 7:56 p.m.

 findings",1
32465,1
the post-resection right hemithorax,1
"small air-containing
 pocket",1
2:27 p.m.,1
"pancost
  tumor",1
"the
 right-sided central venous access line",1
s/p chest wall ressection and rul resection,1
securely,1
"*] 2:08 pm
 chest",1
"[**2198-3-26**] 8:45 pm
  dht",1
prox stomach/gej.  r ij line,1
32373,1
the left axillary,1
the jugular veins,1
contralateral neck surgery,1
r/o upper extrem dvt,1
increasing right-sided pleural effusion,1
"fl
 admitting diagnosis",1
32466,1
the bilateral subclavian,1
no overload,1
full compressibility,1
"apical small air
 pocket",1
"the right axillary and
 basilic veins",1
"chest
 wall resection",1
"t3
 laminectomy",1
heterogeneous occlusive thrombus,1
pancoast tumor status post t1,1
"severe subcutaneous
 edema",1
drainable fluid collections,1
severe edema,1
known cellulitis,1
"[**2100-8-24**] 11:00 am
  pfi",1
89605,1
fl,1
acf,1
forarm,1
"right internal jugular and
 brachial veins",1
1:51 pm,1
s/p  posterior t1-t3 laminectomy,1
gastric feeding tube,1
32370,1
"[**2198-3-26**] 6:37 pm
  no rue dvt.
  focal edema",1
r acf/medial forarm c/w cellulitis,1
"the
 post-resection right hemithorax",1
only a small residual air-containing pocket,1
the post-resection right lung,1
recent chest wall resection,1
no drainable collections,1
r superficial thrombophlebitis,1
"final report
 ap chest 6:42 a.m.",1
entire cephalic,1
60 year old man s/p posterior t1-t3 laminectomy,1
stage iv non-small-cell cancer,1
"7:10 am
 chest",1
"right
 antecubital fossa erythema",1
largely soft tissue defect,1
iv placement,1
"further
 imaging characterization",1
"potential
 targeted biopsy",1
"mild multilevel
 degenerative changes",1
critical stenosis,1
cord infarction,1
c5-c6 stenosis,1
2.  extensive edema,1
the previously noted interlobular septal thickening,1
traumatic etiology,1
this combination,1
prior mr head,1
delayed post-gadolinium imaging,1
"some
 meningeal thickening",1
"78051**],[**known",1
acute trauma,1
"some subcutaneous
 emphysema",1
right upper lobe bronchial obstruction,1
"chronic severe
 degererative changes",1
"complete right upper
 lobe collapse",1
this c5-c6 level,1
the anterior and posterior soft tissues,1
bulky mediastinal and right hilar adenopathy,1
some more lobular components,1
"the
 precarinal region",1
a 2.9 x 3.9 cm nodal mass,1
a 1.6-cm pretracheal node,1
75415,1
"bilateral
 pulmonary opacifications",1
og tube readjustment,1
"og tube readjustment
 reason",1
"2:46 pm
 ct chest w/contrast",1
infectious and neoplastic disease,1
"possible
 cord enhancement",1
"disc osteophyte
 degenerative changes",1
markedly severe central canal stenosis,1
"8:05 pm
 mr",1
"bulky mediastinal lad
 reason",1
compounded,1
"also mediastinal lad
 no contraindications",1
degererative,1
"contrast-enhanced chest ct.

 findings",1
the expected trifurcation,1
bulky mediastinal adenopathy,1
4:15 p.m.,1
"moderate soft
 tissue edema",1
extensive cord edema,1
the right ig line,1
more prominent mass,1
the retrocaval precarinal region,1
extensive spinal cord edema,1
"3 x 2.5
 cm",1
"the apical, anterior
 and partially the posterior segment",1
